ticker,asset_name,asset_type,stock_price,transaction,transaction_date,asset_value_low,asset_value_high,last_name,first_name,owner,additional_details
TGT,Target Corporation,Stock,47.72,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
SU,Suncor Energy Inc.,Stock,25.28,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
STT,State Street Corporation,Stock,70.79,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
SO,The Southern Company,Stock,40.04,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
SLB,Schlumberger Limited,Stock,67.5,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
SNY,Sanofi,Stock,36.64,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
SABR,Sabre Corporation,Stock,19.7,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
QCOM,QUALCOMM Incorporated,Stock,50.76,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
PSA,Public Storage,Stock,186.57,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
PRU,"Prudential Financial, Inc.",Stock,89.53,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
PG,The Procter & Gamble Company,Stock,79.5,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
PFE,Pfizer Inc.,Stock,27.09,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
PAYX,"Paychex, Inc.",Stock,54.46,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
PPL,PPL Corporation,Stock,28.48,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
MS,Morgan Stanley,Stock,38.16,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
TAP,Molson Coors Brewing Company,Stock,88.74,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
MSFT,Microsoft Corporation,Stock,60.69,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
MET,"MetLife, Inc.",Stock,40.12,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
MRK,"Merck & Co., Inc.",Stock,52.85,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
MMC,"Marsh & McLennan Companies, Inc.",Stock,68.11,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
MTB,M&T Bank Corporation,Stock,143.21,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
KMI,"Kinder Morgan, Inc.",Stock,16.63,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
KMB,Kimberly-Clark Corporation,Stock,114.2,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
KEY,KeyCorp,Stock,15.4,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
KAR,"KAR Auction Services, Inc.",Stock,15.3,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
JNJ,Johnson & Johnson,Stock,112.61,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
JPM,JPMorgan Chase & Co.,Stock,79.46,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
HSY,The Hershey Company,Stock,97.72,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
GSK,GlaxoSmithKline plc,Stock,32.5,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
GILD,"Gilead Sciences, Inc.",Stock,58.9,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
GM,General Motors Company,Stock,32.43,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
GE,General Electric Company,Stock,139.96,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
GD,General Dynamics Corporation,Stock,170.1,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
FL,"Foot Locker, Inc.",Stock,66.34,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
XOM,Exxon Mobil Corporation,Stock,63.08,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
EXC,Exelon Corporation,Stock,20.88,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
ETR,Entergy Corporation,Stock,61.67,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
DUK,Duke Energy Corporation,Stock,66.12,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
DIS,The Walt Disney Company,Stock,106.98,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
CCI,Crown Castle International Corp.,Stock,76.22,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
COP,ConocoPhillips,Stock,40.07,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
